num,ms,up,down,left,right
462,1509,4,0,2,5
463,1509,5,3,2,4
464,1509,6,3,0,4
465,1509,3,0,0,3
466,1509,3,0,2,4
467,1509,5,0,5,6
468,1509,4,0,3,8
469,1509,5,3,2,4
470,1509,1,0,2,4
471,1509,8,4,0,4
472,1509,8,5,2,5
473,1509,1,0,3,7
474,1509,6,4,2,6
475,1509,5,2,3,8
476,1591,6,1,0,3
477,1591,4,2,2,5
478,1591,5,1,3,4
479,1591,4,1,3,6
480,1591,6,2,1,3
481,1591,4,1,4,5
482,1591,5,3,2,4
483,1591,5,2,4,8
484,1591,9,4,0,3
485,1591,11,6,4,5
486,1591,4,0,4,7
487,1591,6,2,4,9
488,1591,4,0,5,8
489,1591,3,0,3,5
490,1591,3,0,3,5
491,1591,4,2,0,4
492,1591,6,2,3,7
493,1591,4,0,4,7
494,1591,5,4,4,7
495,1591,3,0,0,2
496,1591,5,1,4,9
497,1591,7,2,0,3
498,1591,7,3,0,3
499,1591,4,1,5,7
500,1591,0,0,2,4
501,1591,5,4,3,5
502,1670,4,0,3,9
503,1670,3,2,1,4
504,1670,5,1,1,6
505,1670,4,1,0,5
506,1670,6,4,2,5
507,1670,4,1,4,4
508,1670,6,2,4,5
509,1670,3,1,4,6
510,1670,6,3,2,4
511,1670,5,0,2,5
512,1670,6,4,2,5
513,1670,4,0,5,9
514,1670,6,4,0,1
515,1670,10,4,4,6
516,1670,5,3,2,4
517,1670,8,5,2,5
518,1670,5,2,3,7
519,1670,5,4,1,5
520,1670,4,0,1,4
521,1670,8,5,1,3
522,1670,9,3,2,7
523,1670,6,4,5,8
524,1670,7,4,4,6
525,1670,4,0,1,3
526,1670,8,5,0,5
527,1749,5,1,0,2
528,1749,7,2,1,5
529,1749,6,2,1,4
530,1749,7,3,3,5
531,1749,5,3,2,7
532,1749,5,2,4,6
533,1749,3,2,4,7
534,1749,4,0,0,3
535,1749,7,4,4,4
536,1749,9,4,3,5
537,1749,8,4,0,5
538,1749,4,1,6,8
539,1749,7,3,3,4
540,1749,4,3,0,1
541,1749,8,4,2,4
542,1749,5,0,2,4
543,1749,4,0,3,7
544,1749,6,4,1,3
545,1749,4,0,0,4
546,1749,5,2,2,7
547,1749,5,2,5,6
548,1749,4,0,0,3
549,1749,4,1,2,5
550,1749,5,3,0,4
551,1749,5,3,4,7
552,1829,4,1,1,1
553,1829,4,0,2,4
554,1829,6,3,3,7
555,1829,7,4,0,4
556,1829,6,3,2,7
557,1829,6,3,3,5
558,1829,5,1,2,6
559,1829,8,4,3,5
560,1829,11,7,0,4
561,1829,3,0,4,6
562,1829,7,4,1,2
563,1829,4,0,2,7
564,1829,4,2,1,3
565,1829,4,0,1,4
566,1829,8,4,3,3
567,1829,6,4,5,9
568,1829,4,0,4,8
569,1829,7,3,3,5
570,1829,7,1,0,4
571,1829,9,4,0,2
572,1829,9,7,0,1
573,1829,7,4,7,9
574,1829,6,2,4,4
575,1829,7,1,0,3
576,1829,5,0,3,7
577,1905,4,0,2,3
578,1905,4,2,3,4
579,1905,3,2,0,4
580,1905,7,2,4,6
581,1905,5,2,2,5
582,1905,5,3,3,7
583,1905,7,3,2,5
584,1905,6,3,4,7
585,1905,4,2,3,5
586,1905,0,0,6,5
587,1905,4,0,0,4
588,1905,3,0,0,4
589,1905,4,4,0,3
590,1905,6,4,1,4
591,1905,5,4,1,4
592,1905,11,4,3,7
593,1905,7,3,2,4
594,1905,3,0,6,10
595,1905,5,1,3,5
596,1905,4,1,3,5
597,1905,3,0,4,8
598,1905,3,0,1,4
599,1905,8,3,3,5
600,1905,5,0,4,6
601,1984,9,4,0,2
602,1984,6,4,3,5
603,1984,4,3,2,5
604,1984,7,4,2,4
605,1984,4,2,1,5
606,1984,5,2,0,5
607,1984,4,2,2,4
608,1984,5,3,2,8
609,1984,1,1,3,6
610,1984,7,4,1,2
611,1984,4,4,1,4
612,1984,2,0,3,7
613,1984,5,2,1,4
614,1984,10,6,1,2
615,1984,4,2,0,1
616,1984,6,2,1,5
617,1984,3,0,4,6
618,1984,3,0,2,4
619,1984,7,2,4,6
620,1984,3,0,2,5
621,1984,5,0,2,5
622,1984,6,2,6,8
623,1984,5,4,4,8
624,1984,3,0,3,5
625,1984,1,0,3,4
626,2061,5,2,3,4
627,2061,7,4,2,5
628,2061,6,2,2,4
629,2061,4,1,2,6
630,2061,4,1,3,5
631,2061,8,3,3,4
632,2061,7,2,4,4
633,2061,5,1,4,5
634,2061,2,0,4,6
635,2061,9,3,4,7
636,2061,4,4,0,4
637,2061,4,2,3,6
638,2061,5,2,0,4
639,2061,6,5,0,2
640,2061,3,0,4,6
641,2061,8,3,4,11
642,2061,4,0,1,6
643,2061,2,0,5,7
644,2061,3,0,2,4
645,2061,7,4,0,3
646,2061,10,7,0,3
647,2061,6,2,1,6
648,2061,7,4,2,5
649,2061,3,0,0,4
650,2137,6,4,8,9
651,2137,7,2,1,4
652,2137,4,2,3,5
653,2137,4,3,3,4
654,2137,9,3,4,5
655,2137,6,2,3,5
656,2137,5,1,1,5
657,2137,6,2,4,7
658,2137,7,5,0,3
659,2137,4,0,1,3
660,2137,3,0,2,7
661,2137,0,0,5,9
662,2137,3,0,2,6
663,2137,7,3,0,4
664,2137,4,2,4,6
665,2137,4,0,2,4
666,2137,7,4,0,0
667,2137,4,0,2,6
668,2137,3,2,4,3
669,2137,3,0,0,1
670,2137,4,1,0,4
671,2137,8,0,2,5
672,2137,7,3,3,7
673,2137,7,3,1,4
674,2216,4,1,4,9
675,2216,7,3,2,6
676,2216,6,2,2,7
677,2216,5,2,2,6
678,2216,5,2,2,6
679,2216,4,3,4,6
680,2216,6,0,2,5
681,2216,4,0,5,5
682,2216,3,0,0,4
683,2216,8,4,3,5
684,2216,4,0,0,2
685,2216,5,1,2,6
686,2216,6,3,3,4
687,2216,4,0,8,11
688,2216,3,0,5,7
689,2216,7,4,2,5
690,2216,6,4,6,8
691,2216,8,2,3,7
692,2216,2,0,0,1
693,2216,8,5,4,7
694,2216,6,3,2,6
695,2216,4,1,3,6
696,2216,6,1,3,6
697,2216,6,4,2,4
698,2216,6,2,1,3
699,2293,5,2,4,6
700,2293,4,3,1,4
701,2293,6,2,2,4
702,2293,6,3,4,4
703,2293,5,1,3,4
704,2293,5,0,4,5
705,2293,5,4,1,4
706,2293,5,0,3,7
707,2293,5,3,0,2
708,2293,4,1,4,6
709,2293,3,0,1,6
710,2293,5,3,3,5
711,2293,4,4,4,6
712,2293,5,1,0,1
713,2293,5,2,1,2
714,2293,10,6,7,11
715,2293,4,0,5,10
716,2293,7,4,1,2
717,2293,5,4,4,5
718,2293,6,3,3,4
719,2293,9,4,3,5
720,2293,5,2,5,9
721,2293,3,0,0,5
722,2293,2,0,1,4
723,2371,5,2,3,5
724,2371,5,1,2,3
725,2371,9,4,2,5
726,2371,5,2,3,5
727,2371,5,1,2,7
728,2371,7,3,2,5
729,2371,6,2,1,4
730,2371,5,0,3,6
731,2371,3,0,6,8
732,2371,7,2,0,3
733,2371,4,1,2,4
734,2371,4,1,1,4
735,2371,7,3,0,2
736,2371,8,2,3,4
737,2371,5,2,0,4
738,2371,9,3,2,4
739,2371,4,2,3,7
740,2371,6,4,4,5
741,2371,4,4,3,5
742,2371,2,0,3,5
743,2371,5,4,4,9
744,2371,8,4,0,3
745,2371,4,0,1,4
746,2371,5,4,0,3
747,2371,4,0,0,4
748,2448,6,4,2,7
749,2448,4,0,1,5
750,2448,6,3,2,4
751,2448,5,3,4,6
752,2448,5,1,0,4
753,2448,4,1,4,7
754,2448,7,3,4,5
755,2448,5,0,0,4
756,2448,8,3,4,6
757,2448,8,3,1,3
758,2448,7,4,1,5
759,2448,6,4,1,4
760,2448,2,0,1,4
761,2448,4,2,4,7
762,2448,4,3,3,4
763,2448,5,2,1,7
764,2448,5,3,1,4
765,2448,7,3,1,4
766,2448,7,5,1,4
767,2448,2,0,0,2
768,2448,9,6,4,6
769,2448,6,2,0,4
770,2448,6,4,2,6
771,2448,2,0,2,5
772,2527,4,0,3,5
773,2527,4,1,3,5
774,2527,6,3,4,6
775,2527,6,2,2,6
776,2527,5,2,1,4
777,2527,6,2,3,5
778,2527,7,2,2,4
779,2527,4,3,1,5
780,2527,8,6,1,4
781,2527,4,2,3,5
782,2527,5,1,7,11
783,2527,4,2,3,5
784,2527,5,1,3,5
785,2527,7,4,0,3
786,2527,7,5,3,7
787,2527,4,1,4,6
788,2527,4,0,3,4
789,2527,6,1,4,8
790,2527,4,0,0,4
791,2527,6,0,3,6
792,2527,2,0,4,7
793,2527,3,0,0,3
794,2527,5,4,1,2
795,2527,9,6,3,5
796,2527,6,3,2,2
797,2606,9,4,0,3
798,2606,5,4,3,5
799,2606,6,2,2,6
800,2606,6,1,2,7
801,2606,5,3,1,4
802,2606,4,0,3,7
803,2606,5,2,2,4
804,2606,4,0,0,0
805,2606,5,1,4,7
806,2606,6,3,0,4
807,2606,4,0,0,1
808,2606,6,4,2,5
809,2606,4,2,3,8
810,2606,6,2,0,4
811,2606,3,1,2,5
812,2606,4,1,2,6
813,2606,9,5,2,6
814,2606,5,1,3,7
815,2606,3,0,2,3
816,2606,7,4,3,5
817,2606,2,0,4,7
818,2606,4,4,3,6
